shelf_id,spine_idx,bbox,det_score,ocr_title,ocr_author,ocr_publisher,ocr_readable,ocr_confidence,match_title,match_authors,match_publisher,match_publishedDate,match_categories,match_isbn,match_volumeId,match_thumbnail,match_score,clip_sim,author_overlap,review_flag
84450a15f6,0,"(259.8199157714844, 99.21759796142578, 288.9461364746094, 269.63543701171875)",0.9978331923484802,The Seven Usual Sins,Walter M. Newton,Harper & Row,False,medium,Christian Companion,[],,1906,[],,LcQOoUotPo8C,http://books.google.com/books/content?id=LcQOoUotPo8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.6008282379722595,0.5998682379722595,0.0,ambiguous
84450a15f6,1,"(375.3287048339844, 438.9954528808594, 406.32220458984375, 609.5054321289062)",0.9975962042808533,The Queen of Nothing,Katherineкин,Turtleback School & Library,False,medium,The Queen of Nothing,['Holly Black'],"Little, Brown Books for Young Readers",2019-11-19,['Young Adult Fiction'],9780316310406,7LaMDwAAQBAJ,http://books.google.com/books/content?id=7LaMDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.8215167637252807,0.8024767637252808,0.0,ok
84450a15f6,2,"(312.6858825683594, 435.2987976074219, 345.9983825683594, 607.767333984375)",0.9971998929977417,The Cruel Prince,Holly O. McEveety,Simon & Schuster,False,medium,The Cruel Prince,['Holly Black'],,2018,[],9781471406454,Y_OktAEACAAJ,http://books.google.com/books/content?id=Y_OktAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.9491619728851318,0.8927819728851318,0.25,ambiguous
84450a15f6,3,"(9.774917602539062, 95.55870819091797, 43.119224548339844, 265.22540283203125)",0.9967858791351318,She Gets the Girl,Unknown,Unknown,False,medium,She Gets the Girl,"['Rachael Lippincott', 'Alyson Derrick']",Deutscher Taschenbuch Verlag,2023-06-15,['Juvenile Fiction'],9783423442473,WGyqEAAAQBAJ,http://books.google.com/books/content?id=WGyqEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.7691424853134156,0.7494624853134155,0.0,ambiguous
84450a15f6,4,"(474.20556640625, 439.8727111816406, 513.3653564453125, 603.519775390625)",0.9967589974403381,Bloodmarked,J. D. Robb,Harlequin,False,high,Bloodmarked,['Lu Whitley'],CreateSpace,2015-03-01,[],9781505225396,o7NBrgEACAAJ,http://books.google.com/books/content?id=o7NBrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.8277592524528503,0.8093592524528503,0.0,ok
84450a15f6,5,"(204.905029296875, 96.2287368774414, 225.87657165527344, 266.733642578125)",0.9967513084411621,PAINTER,PAINTER,PAINTER,False,high,"The Painter's and Varnisher's Pocket Manual, Etc",['PAINTER.'],,1825,[],,6hV9sKpUviMC,http://books.google.com/books/content?id=6hV9sKpUviMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.8534466862678528,0.7034466862678528,1.0,ambiguous
84450a15f6,6,"(405.5933532714844, 439.7231140136719, 433.115234375, 607.5729370117188)",0.9966891407966614,House of Sorrow,Erin S. Craig,Fawcett,False,medium,House of Sorrow,"[""Emily O'Donoghue""]",,1998,[],,aMjSNwAACAAJ,,0.8305576292800904,0.8148776292800903,0.0,ok
84450a15f6,7,"(288.8129577636719, 100.01824951171875, 323.5564270019531, 271.310546875)",0.996669352054596,Anatomy,Anna Schwartz,W. W. Norton,False,high,Human Anatomy,"['Frederic H. Martini', 'Michael J. Timmons', 'Robert B. Tallitsch']",Pearson Higher Ed,2014-04-02,['Science'],9780321908704,IpV-AgAAQBAJ,http://books.google.com/books/content?id=IpV-AgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.7648173224830628,0.7465773224830627,0.0,ambiguous
84450a15f6,8,"(40.783958435058594, 96.30681610107422, 74.57244110107422, 263.39141845703125)",0.996340811252594,,,,False,medium,,[],,,[],,,,0.0,0.0,0.0,unreadable
84450a15f6,9,"(286.2961730957031, 427.429443359375, 311.8404541015625, 606.8112182617188)",0.9961960315704346,"Girl, Serpent, Thorn",Sara Shepard,Simon & Schuster,False,medium,"Girl, Serpent, Thorn",['Melissa Bashardoust'],Flatiron Books,2020-07-07,['Young Adult Fiction'],9781250196156,K32oDwAAQBAJ,http://books.google.com/books/content?id=K32oDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.795260938835144,0.776060938835144,0.0,ambiguous
